step,axis,offset_from_start,target_position,measured_position,measured_steps,flycap_bright_row,flycap_bright_col,flycap_bright_value,thorcam_bright_row,thorcam_bright_col,thorcam_bright_value,base_name,flycap_ok,thorcam_ok
0,g2_x_rot,0.0000,0.0000,0.0000,0,158,592,255,603,276,49151,x_rot_positive_1.2milideg_step00,True,True
1,g2_x_rot,0.0012,0.0012,0.0012,2,160,588,255,610,273,49398,x_rot_positive_1.2milideg_step01,True,True
2,g2_x_rot,0.0024,0.0024,0.0024,4,0,0,255,612,271,49360,x_rot_positive_1.2milideg_step02,True,True
3,g2_x_rot,0.0036,0.0036,0.0036,6,166,598,255,617,270,49653,x_rot_positive_1.2milideg_step03,True,True
4,g2_x_rot,0.0048,0.0048,0.0048,8,170,588,255,616,269,49899,x_rot_positive_1.2milideg_step04,True,True
5,g2_x_rot,0.0060,0.0060,0.0060,10,172,594,255,617,270,49858,x_rot_positive_1.2milideg_step05,True,True
6,g2_x_rot,0.0072,0.0072,0.0072,12,176,594,255,623,268,49871,x_rot_positive_1.2milideg_step06,True,True
7,g2_x_rot,0.0084,0.0084,0.0084,14,180,598,255,626,274,49653,x_rot_positive_1.2milideg_step07,True,True
8,g2_x_rot,0.0096,0.0096,0.0096,16,184,600,255,631,273,50147,x_rot_positive_1.2milideg_step08,True,True
9,g2_x_rot,0.0108,0.0108,0.0108,18,186,606,255,631,273,49882,x_rot_positive_1.2milideg_step09,True,True
10,g2_x_rot,0.0120,0.0120,0.0120,20,192,596,255,633,267,49663,x_rot_positive_1.2milideg_step10,True,True
11,g2_x_rot,0.0132,0.0132,0.0132,22,194,602,255,641,271,49661,x_rot_positive_1.2milideg_step11,True,True
12,g2_x_rot,0.0144,0.0144,0.0144,24,198,590,255,641,271,49403,x_rot_positive_1.2milideg_step12,True,True
13,g2_x_rot,0.0156,0.0156,0.0156,26,200,596,255,641,271,49087,x_rot_positive_1.2milideg_step13,True,True
14,g2_x_rot,0.0168,0.0168,0.0168,28,204,610,255,652,267,49369,x_rot_positive_1.2milideg_step14,True,True
15,g2_x_rot,0.0180,0.0180,0.0180,30,208,596,255,659,272,49352,x_rot_positive_1.2milideg_step15,True,True
16,g2_x_rot,0.0192,0.0192,0.0192,32,214,592,255,659,272,49379,x_rot_positive_1.2milideg_step16,True,True
17,g2_x_rot,0.0204,0.0204,0.0204,34,218,588,255,659,272,49087,x_rot_positive_1.2milideg_step17,True,True
18,g2_x_rot,0.0216,0.0216,0.0216,36,218,588,255,668,274,49151,x_rot_positive_1.2milideg_step18,True,True
