step,axis,offset_from_start,target_position,measured_position,measured_steps,flycap_bright_row,flycap_bright_col,flycap_bright_value,thorcam_bright_row,thorcam_bright_col,thorcam_bright_value,base_name,flycap_ok,thorcam_ok
0,g2_x_rot,0.0000,0.0000,0.0000,0,156,586,255,600,279,49151,x_rot_positive_3milideg_step00,True,True
1,g2_x_rot,0.0030,0.0030,0.0030,5,164,596,255,610,273,49379,x_rot_positive_3milideg_step01,True,True
2,g2_x_rot,0.0060,0.0060,0.0060,10,172,594,255,617,270,49918,x_rot_positive_3milideg_step02,True,True
3,g2_x_rot,0.0090,0.0090,0.0090,15,182,592,255,631,273,50123,x_rot_positive_3milideg_step03,True,True
4,g2_x_rot,0.0120,0.0120,0.0120,20,190,602,255,638,280,49867,x_rot_positive_3milideg_step04,True,True
5,g2_x_rot,0.0150,0.0150,0.0150,25,200,596,255,641,271,49087,x_rot_positive_3milideg_step05,True,True
6,g2_x_rot,0.0180,0.0180,0.0180,30,210,598,255,652,267,49087,x_rot_positive_3milideg_step06,True,True
7,g2_x_rot,0.0210,0.0210,0.0210,35,218,588,255,668,274,49151,x_rot_positive_3milideg_step07,True,True
8,g2_x_rot,0.0240,0.0240,0.0240,40,224,590,255,670,267,48895,x_rot_positive_3milideg_step08,True,True
9,g2_x_rot,0.0270,0.0270,0.0270,45,238,594,255,687,277,50151,x_rot_positive_3milideg_step09,True,True
10,g2_x_rot,0.0300,0.0300,0.0300,50,248,598,255,687,277,49871,x_rot_positive_3milideg_step10,True,True
11,g2_x_rot,0.0330,0.0330,0.0330,55,258,598,255,703,266,50388,x_rot_positive_3milideg_step11,True,True
12,g2_x_rot,0.0360,0.0360,0.0360,60,268,592,255,714,278,49918,x_rot_positive_3milideg_step12,True,True
13,g2_x_rot,0.0390,0.0390,0.0390,65,276,606,255,714,278,49087,x_rot_positive_3milideg_step13,True,True
14,g2_x_rot,0.0420,0.0420,0.0420,70,286,594,255,742,271,50407,x_rot_positive_3milideg_step14,True,True
15,g2_x_rot,0.0450,0.0450,0.0450,75,296,592,255,744,273,52191,x_rot_positive_3milideg_step15,True,True
16,g2_x_rot,0.0480,0.0480,0.0480,80,304,590,255,758,276,53247,x_rot_positive_3milideg_step16,True,True
17,g2_x_rot,0.0510,0.0510,0.0510,85,316,586,255,758,276,53727,x_rot_positive_3milideg_step17,True,True
18,g2_x_rot,0.0540,0.0540,0.0540,90,324,590,255,764,276,53490,x_rot_positive_3milideg_step18,True,True
19,g2_x_rot,0.0570,0.0570,0.0570,95,334,586,255,779,266,52974,x_rot_positive_3milideg_step19,True,True
20,g2_x_rot,0.0600,0.0600,0.0600,100,342,132,255,779,266,52942,x_rot_positive_3milideg_step20,True,True
21,g2_x_rot,0.0630,0.0630,0.0630,105,352,132,255,792,274,50677,x_rot_positive_3milideg_step21,True,True
22,g2_x_rot,0.0660,0.0660,0.0660,110,362,126,255,807,275,49609,x_rot_positive_3milideg_step22,True,True
23,g2_x_rot,0.0690,0.0690,0.0690,115,370,588,255,817,272,49151,x_rot_positive_3milideg_step23,True,True
24,g2_x_rot,0.0720,0.0720,0.0720,120,380,588,255,831,727,48894,x_rot_positive_3milideg_step24,True,True
25,g2_x_rot,0.0750,0.0750,0.0750,125,388,582,255,835,734,50407,x_rot_positive_3milideg_step25,True,True
26,g2_x_rot,0.0780,0.0780,0.0780,130,396,146,255,843,716,49919,x_rot_positive_3milideg_step26,True,True
27,g2_x_rot,0.0810,0.0810,0.0810,135,404,134,255,851,726,50163,x_rot_positive_3milideg_step27,True,True
28,g2_x_rot,0.0840,0.0840,0.0840,140,414,122,255,851,725,49087,x_rot_positive_3milideg_step28,True,True
